ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0001-8639-233X,0,0,1,0,0,0,1,0.01754386
0000-0001-8643-822X,0,59,1,11,0.409090909,1,1,-0.409090909
0000-0001-8694-8166,1,2,1,4,0.042253521,0,0,0.037746479
0000-0001-8696-2013,0,0,1,0,0,3,1,0.024096386
0000-0001-8697-5711,0,10,1,10,0,3,1,0.197530864
0000-0001-8697-9165,0,7,1,6,0,1,1,0.184782609
0000-0001-8739-4337,0,5,1,9,0.036144578,0,1,0.054764513
0000-0001-8749-8937,0,72,1,9,0.773809524,0,0,-0.218253968
0000-0001-8753-4037,0,16,1,8,0.155844156,0,0,0.052489177
0000-0001-8762-5844,0,0,1,0,0,0,1,0.045454545
0000-0001-8769-6650,0,2,1,3,0.034482759,0,0,-0.034482759
0000-0001-8771-7044,0,0,1,0,0,0,0,0.019607843
0000-0001-8795-9174,0,14,1,9,0.068965517,0,1,0.097701149
0000-0001-8800-0731,1,9,1,4,0.166666667,0,0,-0.133333333
0000-0001-8808-6803,1,1,1,4,0.022727273,0,1,0.016488414
0000-0001-8808-9641,0,11,1,7,0.13559322,0,1,0.119725929
0000-0001-8810-5103,0,27,1,4,0.534482759,1,1,0.026492851
0000-0001-8823-0852,0,0,1,0,0,0,1,0.083333333
0000-0001-8839-8161,0,32,1,12,0.033898305,1,1,1.027077305
0000-0001-8844-069X,0,16,1,8,0.276595745,1,0,-0.086940572
0000-0001-8844-3292,0,0,1,0,0,0,1,0.027777778
0000-0001-8844-9176,1,3,1,5,0,0,1,0.148148148
0000-0001-8873-0750,1,0,1,0,0,0,1,0.018867925
0000-0001-8892-6534,0,12,1,6,0.169811321,0,1,-0.150203478
0000-0001-8925-5277,0,25,1,10,0.25,0,1,-0.076086957
0000-0001-8984-6798,0,4,1,8,0,0,1,0.097560976
0000-0001-8990-5700,0,1,1,1,0.027027027,1,1,0.028528529
0000-0001-8999-2701,0,18,1,9,0.155555556,3,1,0.38015873
0000-0001-9000-6227,0,0,1,0,0,0,1,0.033333333
0000-0001-9002-0379,0,11,1,4,0.178082192,1,1,0.210806697
0000-0001-9023-7850,0,8,1,8,0.1,0,1,-0.009090909
0000-0001-9031-3307,1,3,1,6,0.048780488,0,0,-0.014297729
0000-0001-9033-5039,0,21,1,7,0.226666667,0,1,0.662222222
0000-0001-9109-0010,0,0,1,0,0,0,0,0.041666667
0000-0001-9110-585X,0,16,1,4,0.5,2,1,0.166666667
0000-0001-9115-4686,0,2,1,2,0,1,1,0.571428571
0000-0001-9123-5988,1,7,1,7,0.137931034,0,1,-0.137931034
0000-0001-9128-1458,0,3,1,3,0,3,1,0.224719101
0000-0001-9130-6619,0,11,1,5,0,1,1,0.285714286
0000-0001-9136-0949,1,2,1,2,0.056603774,0,0,0.143396226
0000-0001-9142-7402,1,0,1,0,0,0,1,0.116666667
0000-0001-9172-0895,0,18,1,5,0.226666667,3,1,0.13047619
0000-0001-9182-335X,0,0,1,0,0,3,1,0.094339623
0000-0001-9182-8230,0,4,1,9,0.130434783,0,0,-0.097101449
0000-0001-9185-4199,0,17,1,8,0,3,1,0
0000-0001-9206-6178,0,8,1,7,0.029411765,1,1,0.123366013
0000-0001-9222-0833,0,2,1,7,0,0,1,0.220779221
0000-0001-9257-8528,1,1,1,4,0.012195122,0,0,-0.012195122
0000-0001-9269-6954,1,3,1,1,0.018867925,0,0,0.083696178
0000-0001-9277-9258,0,14,1,8,0.3,1,1,-0.116901408
0000-0001-9282-2041,0,11,1,6,0.276595745,0,1,-0.276595745
0000-0001-9289-335X,1,1,1,3,0,0,0,0.04
0000-0001-9295-4992,0,3,1,2,0.027777778,3,1,0.141053391
0000-0001-9321-9228,0,2,1,2,0,0,1,0.120481928
0000-0001-9329-7365,0,0,1,0,0,0,0,0
0000-0001-9335-231X,1,0,1,1,0,0,1,0.03125
0000-0001-9358-0451,0,11,1,11,0.064516129,0,1,0.043917606
0000-0001-9361-2281,0,14,1,6,0.083333333,1,1,0.346899225
0000-0001-9365-836X,0,9,1,5,0.2,3,1,0.04
0000-0001-9377-0503,0,0,1,1,0,1,1,0
0000-0001-9379-9701,0,8,1,4,0,3,1,0.429824561
0000-0001-9380-3424,0,3,1,3,0.034482759,3,1,0.063078217
0000-0001-9397-3853,0,9,1,9,0,0,1,0.085106383
0000-0001-9411-716X,0,0,1,0,0,1,1,0.1
0000-0001-9413-2650,0,46,1,9,0.458333333,1,1,-0.029761905
0000-0001-9457-1450,0,1,1,3,0,0,1,0.072727273
0000-0001-9467-9680,0,2,1,1,0.03030303,3,1,0.115530303
0000-0001-9487-9375,0,30,1,10,0.138888889,1,1,0.066239316
0000-0001-9489-1286,0,18,1,9,0.235294118,1,1,0.098039216
0000-0001-9513-3380,0,10,1,6,0.012987013,0,0,-0.012987013
0000-0001-9513-3591,0,0,1,0,0.025,0,1,0.199137931
0000-0001-9516-7441,0,0,1,0,0,0,1,0
0000-0001-9521-5650,0,20,1,7,0.274509804,2,1,-0.249509804
0000-0001-9542-6634,0,14,1,12,0.098360656,0,1,0.015275708
0000-0001-9555-3377,0,0,1,0,0,0,0,0.13253012
0000-0001-9558-6021,0,5,1,8,0.08,0,1,0.183157895
0000-0001-9571-6076,0,6,1,3,0.142857143,1,1,0.263736264
0000-0001-9579-8251,0,5,1,6,0.121621622,0,1,0.100600601
0000-0001-9602-9550,0,12,1,11,0,0,0,0.033333333
0000-0001-9612-7898,0,6,1,7,0.104166667,1,1,-0.020833333
0000-0001-9614-5412,0,7,1,3,0.11627907,0,0,-0.044850498
0000-0001-9635-1144,0,5,1,3,0.06,3,1,0.022352941
0000-0001-9638-2960,1,2,1,4,0.155555556,0,1,-0.102923977
0000-0001-9645-3052,0,10,1,3,0,3,1,0.75257732
0000-0001-9657-0806,0,37,1,5,0.222222222,1,0,0.493567251
0000-0001-9682-3295,0,47,1,11,0.222222222,0,1,0.555555556
0000-0001-9708-1959,0,22,1,5,0.541666667,0,1,-0.208333333
0000-0001-9721-1741,0,0,1,0,0,0,0,0.029411765
0000-0001-9721-2541,0,3,1,4,0.050847458,0,0,0.051716645
0000-0001-9723-4054,0,8,1,6,0.125,0,1,0.191666667
0000-0001-9727-8524,0,1,1,5,0,3,1,0
0000-0001-9729-5500,0,13,1,9,0.152542373,1,1,-0.152542373
0000-0001-9730-7268,0,68,1,18,0.058823529,1,1,0.034926471
0000-0001-9759-4906,0,10,1,7,0.028571429,1,1,-0.028571429
0000-0001-9778-4312,0,30,1,7,0.552631579,2,1,-0.001611171
0000-0001-9787-2881,0,11,1,5,0.178571429,0,0,-0.067460317
0000-0001-9800-7080,0,0,1,0,0,0,0,0
0000-0001-9805-7299,0,11,1,13,0,3,1,0.149425287
0000-0001-9822-5424,0,11,1,6,0.153846154,0,0,0.240890688
0000-0001-9825-7864,0,17,1,7,0.225,0,0,0.041666667
0000-0001-9829-4382,0,22,1,7,0.514285714,0,0,-0.110776942
0000-0001-9840-2427,0,17,1,7,0.230769231,3,1,0.473456121
0000-0001-9840-4705,0,1,1,1,0.083333333,0,1,-0.073333333
0000-0001-9844-3245,0,14,1,11,0.120689655,0,1,-0.000689655
0000-0001-9849-6996,0,17,1,10,0.170731707,0,1,-0.14295393
0000-0001-9858-7943,0,28,1,10,0.222222222,0,1,0.055555556
0000-0001-9910-9345,0,2,1,12,0.02,0,0,-0.02
0000-0001-9914-9750,0,0,1,0,0,1,1,0.049382716
0000-0001-9925-063X,0,28,1,9,0.25,1,1,-0.120967742
0000-0001-9932-2613,0,9,1,7,0,0,0,0.820895522
0000-0001-9939-2259,0,3,1,7,0,1,1,0
0000-0001-9954-4451,0,3,1,4,0.02173913,3,1,0.089371981
0000-0001-9965-3308,1,4,1,4,0.083333333,0,0,-0.016666667
0000-0001-9986-0948,0,0,1,0,0,3,1,0
